780	1.0	5.00	5.00
790	1.0	5.96	5.03
800	1.0	6.88	4.95
810	1.0	8.06	4.99
820	1.0	9.06	4.77
830	1.0	10.04	4.71
840	1.0	10.95	4.52
850	1.0	12.06	4.43
860	1.0	12.24	5.32
870	1.0	11.99	6.42
880	1.0	11.92	7.77
890	1.0	12.09	9.12
900	1.0	11.98	10.15
910	1.0	11.82	11.24
920	1.0	11.68	12.36
930	1.0	11.77	13.48
940	1.0	11.82	14.43
950	1.0	11.97	15.26
960	1.0	12.89	15.26
970	1.0	13.90	15.32
980	1.0	14.60	15.57
990	1.0	15.50	15.48
1000	1.0	16.52	15.43
1010	1.0	17.40	15.45
1020	1.0	18.14	15.28
1030	1.0	19.14	15.20
1040	1.0	20.09	15.30
1050	1.0	20.84	15.41
1060	1.0	21.69	15.31
1070	1.0	22.49	15.61
