963	1.0	1.22	0.7
963	1.0	2.13	2.56
963	1.0	3.03	4.42
963	1.0	3.94	6.28
963	1.0	4.84	8.14
963	1.0	5.74	10.0
963	2.0	2.73	2.95
963	2.0	3.52	3.84
963	2.0	4.32	4.73
963	2.0	5.12	5.62
963	2.0	5.92	6.51
963	2.0	6.72	7.41
963	3.0	1.16	3.01
963	3.0	2.76	4.83
963	3.0	4.35	6.66
963	3.0	5.94	8.48
963	3.0	7.53	10.31
963	3.0	9.12	12.13
963	4.0	3.51	2.1
963	4.0	4.93	3.26
963	4.0	6.35	4.43
963	4.0	7.78	5.6
963	4.0	9.2	6.77
963	4.0	10.63	7.93
963	5.0	4.35	3.79
963	5.0	5.34	5.18
963	5.0	6.33	6.56
963	5.0	7.31	7.95
963	5.0	8.3	9.33
963	5.0	9.29	10.71
828	1.0	1.39	1.08
828	1.0	3.28	1.98
828	1.0	5.18	2.88
828	1.0	7.08	3.79
828	1.0	8.97	4.69
828	1.0	10.87	5.59
828	2.0	1.9	1.79
828	2.0	3.17	2.94
828	2.0	4.43	4.09
828	2.0	5.7	5.24
828	2.0	6.96	6.38
828	2.0	8.23	7.53
828	3.0	0.22	2.3
828	3.0	1.15	4.43
828	3.0	2.09	6.56
828	3.0	3.03	8.7
828	3.0	3.97	10.83
828	3.0	4.9	12.96
828	4.0	0.39	1.47
828	4.0	2.09	3.54
828	4.0	3.78	5.62
828	4.0	5.47	7.7
828	4.0	7.17	9.78
828	4.0	8.86	11.86
828	5.0	1.81	0.96
828	5.0	2.66	2.7
828	5.0	3.52	4.45
828	5.0	4.37	6.19
828	5.0	5.23	7.93
828	5.0	6.08	9.67
806	1.0	3.87	4.93
806	1.0	5.9	6.98
806	1.0	7.93	9.03
806	1.0	9.96	11.08
806	1.0	12.0	13.13
806	1.0	14.03	15.17
806	2.0	1.9	2.27
806	2.0	3.9	3.26
806	2.0	5.9	4.26
806	2.0	7.9	5.25
806	2.0	9.91	6.24
806	2.0	11.91	7.24
806	3.0	1.78	3.35
806	3.0	3.58	5.13
806	3.0	5.38	6.9
806	3.0	7.18	8.68
806	3.0	8.99	10.45
806	3.0	10.79	12.23
806	4.0	0.36	3.17
806	4.0	1.91	4.29
806	4.0	3.46	5.41
806	4.0	5.01	6.53
806	4.0	6.56	7.64
806	4.0	8.11	8.76
806	5.0	2.31	1.35
806	5.0	4.45	3.13
806	5.0	6.59	4.91
806	5.0	8.73	6.7
806	5.0	10.86	8.48
806	5.0	13.0	10.26
989	1.0	1.1	1.62
989	1.0	3.0	2.46
989	1.0	4.9	3.29
989	1.0	6.81	4.12
989	1.0	8.71	4.96
989	1.0	10.61	5.79
989	2.0	4.11	4.03
989	2.0	5.46	4.87
989	2.0	6.81	5.72
989	2.0	8.16	6.57
989	2.0	9.52	7.42
989	2.0	10.87	8.27
989	3.0	4.57	2.84
989	3.0	6.39	3.9
989	3.0	8.22	4.97
989	3.0	10.05	6.04
989	3.0	11.87	7.11
989	3.0	13.7	8.18
989	4.0	2.5	4.42
989	4.0	4.21	5.39
989	4.0	5.92	6.35
989	4.0	7.64	7.32
989	4.0	9.35	8.28
989	4.0	11.07	9.24
989	5.0	0.7	3.72
989	5.0	2.26	5.6
989	5.0	3.82	7.47
989	5.0	5.37	9.34
989	5.0	6.93	11.21
989	5.0	8.49	13.08
870	1.0	2.14	2.92
870	1.0	3.44	5.16
870	1.0	4.73	7.41
870	1.0	6.02	9.66
870	1.0	7.31	11.9
870	1.0	8.61	14.15
870	2.0	0.69	2.47
870	2.0	2.58	4.51
870	2.0	4.46	6.55
870	2.0	6.34	8.59
870	2.0	8.23	10.63
870	2.0	10.11	12.68
870	3.0	0.76	0.8
870	3.0	2.53	2.44
870	3.0	4.31	4.09
870	3.0	6.08	5.73
870	3.0	7.85	7.38
870	3.0	9.62	9.02
870	4.0	1.92	2.98
870	4.0	3.38	4.11
870	4.0	4.83	5.23
870	4.0	6.28	6.36
870	4.0	7.73	7.49
870	4.0	9.18	8.62
870	5.0	2.77	4.71
870	5.0	4.54	5.63
870	5.0	6.31	6.56
870	5.0	8.08	7.48
870	5.0	9.85	8.4
870	5.0	11.62	9.32
